Rank,Airport,City,State_Province,Country,Total_Passengers_millions,Long,Lat,Image_URL,Thumb_URL
14,Suvarnabhumi Airport,Bangkok,,Thailand,53,100.750765,13.692363,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Suvarnabhumi_Airport%2C_Bangkok%2C_Thailand_2.jpg/800px-Suvarnabhumi_Airport%2C_Bangkok%2C_Thailand_2.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Suvarnabhumi_Airport%2C_Bangkok%2C_Thailand_2.jpg/220px-Suvarnabhumi_Airport%2C_Bangkok%2C_Thailand_2.jpg
15,Singapore Changi Airport,Singapore,,,51.18,103.98702,1.353205,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Changi_airport_terminal_3zz.JPG/800px-Changi_airport_terminal_3zz.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Changi_airport_terminal_3zz.JPG/220px-Changi_airport_terminal_3zz.JPG
16,Amsterdam Schiphol Airport,Amsterdam,,Netherlands,51.04,4.760605,52.308437,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Amsterdam_Schiphol_Airport_entrance.jpg/800px-Amsterdam_Schiphol_Airport_entrance.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Amsterdam_Schiphol_Airport_entrance.jpg/280px-Amsterdam_Schiphol_Airport_entrance.jpg
17,John F. Kennedy International Airport,New York City,New York,United States,49.29,-73.781688,40.645128,http://upload.wikimedia.org/wikipedia/commons/f/f0/JFKNewYorkTerm4_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/JFKNewYorkTerm4_1.jpg/250px-JFKNewYorkTerm4_1.jpg
18,Guangzhou Baiyun International Airport,Guangzhou,Guangdong,China,48.55,113.299193,23.394639,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Guangzhou_Baiyun_Airport_2.JPG/800px-Guangzhou_Baiyun_Airport_2.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Guangzhou_Baiyun_Airport_2.JPG/250px-Guangzhou_Baiyun_Airport_2.JPG
19,Madrid Barajas Airport,Madrid,,Spain,47.18,-3.566156,40.466415,http://upload.wikimedia.org/wikipedia/commons/8/8f/Barajas_interior3.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Barajas_interior3.jpg/220px-Barajas_interior3.jpg
20,Ataturk International Airport,Istanbul,,Turkey,45,28.814437,40.976178,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Ataturk_Airport_overview_Karakas.jpg/800px-Ataturk_Airport_overview_Karakas.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Ataturk_Airport_overview_Karakas.jpg/250px-Ataturk_Airport_overview_Karakas.jpg
21,Shanghai Pudong International Airport,Shanghai,,China,44.88,121.79936,31.14884,http://upload.wikimedia.org/wikipedia/commons/e/e3/Shanghai_Pudong_International_Airport_Interior.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Shanghai_Pudong_International_Airport_Interior.jpg/220px-Shanghai_Pudong_International_Airport_Interior.jpg
22,San Francisco International Airport,San Francisco,California,United States,44.43,-122.38279,37.617187,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/SFO_at_night.jpg/800px-SFO_at_night.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/SFO_at_night.jpg/220px-SFO_at_night.jpg
23,McCarren International Airport,Las Vegas,Nevada,United States,41.67,-115.150941,36.085142,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/McCarran_airport_las_vegas.jpg/220px-McCarran_airport_las_vegas.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/McCarran_airport_las_vegas.jpg/800px-McCarran_airport_las_vegas.jpg
24,Charlotte Douglas International Airport,Charlotte,North Carolina,United States,41.23,-80.948401,35.219161,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CLT_Atrium.jpg/800px-CLT_Atrium.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/CLT_Atrium.jpg/220px-CLT_Atrium.jpg
25,Phoenix Sky Harbor International Airport,Phoenix,Arizona,United States,40.45,-112.005496,33.435399,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/PHX_tower_with_downtown.JPG/800px-PHX_tower_with_downtown.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/PHX_tower_with_downtown.JPG/220px-PHX_tower_with_downtown.JPG
